que_id,que_titre,que_uti_id
1,"Qual dos cubos abaixo poderia ser a rotação do cubo maior?",1
2,"Se o dia depois de amanhã é dois dias antes da quinta-feira, que dia é hoje?",1
3,"Marque a palavra que não combina com as outras:",1
4,"4-7-11-18-29... Qual é o próximo número nessa sequência?",1
5,"Fernanda gosta do número 96, mas não do 45. Ela também gosta do número 540, mas não do 250. De qual número abaixo ela gosta?",1
6,"C, F, I, L, O... Nesta sequência, qual é a próxima letra?",1
7,"Qual dos cubos abaixo poderia ser a rotação do cubo maior?",2
8,"Se o dia depois de amanhã é dois dias antes da quinta-feira, que dia é hoje?",2
9,"Marque a palavra que não combina com as outras:",2
10,"4-7-11-18-29... Qual é o próximo número nessa sequência?",2
11,"Fernanda gosta do número 96, mas não do 45. Ela também gosta do número 540, mas não do 250. De qual número abaixo ela gosta?",2
12,"C, F, I, L, O... Nesta sequência, qual é a próxima letra?",2
13,"Qual dos cubos abaixo poderia ser a rotação do cubo maior?",3
14,"Se o dia depois de amanhã é dois dias antes da quinta-feira, que dia é hoje?",3
15,"Marque a palavra que não combina com as outras:",3
16,"4-7-11-18-29... Qual é o próximo número nessa sequência?",3
17,"Fernanda gosta do número 96, mas não do 45. Ela também gosta do número 540, mas não do 250. De qual número abaixo ela gosta?",3
18,"C, F, I, L, O... Nesta sequência, qual é a próxima letra?",3
19,"Qual dos cubos abaixo poderia ser a rotação do cubo maior?",4
20,"Se o dia depois de amanhã é dois dias antes da quinta-feira, que dia é hoje?",4
21,"Marque a palavra que não combina com as outras:",4
22,"4-7-11-18-29... Qual é o próximo número nessa sequência?",4
23,"Fernanda gosta do número 96, mas não do 45. Ela também gosta do número 540, mas não do 250. De qual número abaixo ela gosta?",4
24,"C, F, I, L, O... Nesta sequência, qual é a próxima letra?",4
25,"Qual dos cubos abaixo poderia ser a rotação do cubo maior?",5
26,"Se o dia depois de amanhã é dois dias antes da quinta-feira, que dia é hoje?",5
27,"Marque a palavra que não combina com as outras:",5
28,"4-7-11-18-29... Qual é o próximo número nessa sequência?",5
29,"Fernanda gosta do número 96, mas não do 45. Ela também gosta do número 540, mas não do 250. De qual número abaixo ela gosta?",5
30,"C, F, I, L, O... Nesta sequência, qual é a próxima letra?",5
31,"Qual dos cubos abaixo poderia ser a rotação do cubo maior?",6
32,"Se o dia depois de amanhã é dois dias antes da quinta-feira, que dia é hoje?",6
33,"Marque a palavra que não combina com as outras:",6
34,"4-7-11-18-29... Qual é o próximo número nessa sequência?",6
35,"Fernanda gosta do número 96, mas não do 45. Ela também gosta do número 540, mas não do 250. De qual número abaixo ela gosta?",6
36,"C, F, I, L, O... Nesta sequência, qual é a próxima letra?",6
37,"Qual dos cubos abaixo poderia ser a rotação do cubo maior?",7
38,"Se o dia depois de amanhã é dois dias antes da quinta-feira, que dia é hoje?",7
39,"Marque a palavra que não combina com as outras:",7
40,"4-7-11-18-29... Qual é o próximo número nessa sequência?",7
41,"Fernanda gosta do número 96, mas não do 45. Ela também gosta do número 540, mas não do 250. De qual número abaixo ela gosta?",7
42,"C, F, I, L, O... Nesta sequência, qual é a próxima letra?",7
43,"Qual dos cubos abaixo poderia ser a rotação do cubo maior?",8
44,"Se o dia depois de amanhã é dois dias antes da quinta-feira, que dia é hoje?",8
45,"Marque a palavra que não combina com as outras:",8
46,"4-7-11-18-29... Qual é o próximo número nessa sequência?",8
47,"Fernanda gosta do número 96, mas não do 45. Ela também gosta do número 540, mas não do 250. De qual número abaixo ela gosta?",8
48,"C, F, I, L, O... Nesta sequência, qual é a próxima letra?",8
49,"Qual dos cubos abaixo poderia ser a rotação do cubo maior?",9
50,"Se o dia depois de amanhã é dois dias antes da quinta-feira, que dia é hoje?",9
51,"Marque a palavra que não combina com as outras:",9
52,"4-7-11-18-29... Qual é o próximo número nessa sequência?",9
53,"Fernanda gosta do número 96, mas não do 45. Ela também gosta do número 540, mas não do 250. De qual número abaixo ela gosta?",9
54,"C, F, I, L, O... Nesta sequência, qual é a próxima letra?",9
55,"Qual dos cubos abaixo poderia ser a rotação do cubo maior?",10
56,"Se o dia depois de amanhã é dois dias antes da quinta-feira, que dia é hoje?",10
57,"Marque a palavra que não combina com as outras:",10
58,"4-7-11-18-29... Qual é o próximo número nessa sequência?",10
59,"Fernanda gosta do número 96, mas não do 45. Ela também gosta do número 540, mas não do 250. De qual número abaixo ela gosta?",10
60,"C, F, I, L, O... Nesta sequência, qual é a próxima letra?",10
61,"Qual dos cubos abaixo poderia ser a rotação do cubo maior?",11
62,"Se o dia depois de amanhã é dois dias antes da quinta-feira, que dia é hoje?",11
63,"Marque a palavra que não combina com as outras:",11
64,"4-7-11-18-29... Qual é o próximo número nessa sequência?",11
65,"Fernanda gosta do número 96, mas não do 45. Ela também gosta do número 540, mas não do 250. De qual número abaixo ela gosta?",11
66,"C, F, I, L, O... Nesta sequência, qual é a próxima letra?",11
67,"Qual dos cubos abaixo poderia ser a rotação do cubo maior?",12
68,"Se o dia depois de amanhã é dois dias antes da quinta-feira, que dia é hoje?",12
69,"Marque a palavra que não combina com as outras:",12
70,"4-7-11-18-29... Qual é o próximo número nessa sequência?",12
71,"Fernanda gosta do número 96, mas não do 45. Ela também gosta do número 540, mas não do 250. De qual número abaixo ela gosta?",12
72,"C, F, I, L, O... Nesta sequência, qual é a próxima letra?",12
73,"Qual dos cubos abaixo poderia ser a rotação do cubo maior?",13
74,"Se o dia depois de amanhã é dois dias antes da quinta-feira, que dia é hoje?",13
75,"Marque a palavra que não combina com as outras:",13
76,"4-7-11-18-29... Qual é o próximo número nessa sequência?",13
77,"Fernanda gosta do número 96, mas não do 45. Ela também gosta do número 540, mas não do 250. De qual número abaixo ela gosta?",13
78,"C, F, I, L, O... Nesta sequência, qual é a próxima letra?",13
